objectid,name,year
5956,South Africa,1977
2593,Pass the Pigs,1977
1932,Anti-Monopoly II,1977
4845,Star Wars   Escape From Death Star Game,1977
4122,Electronic Battleship,1977
1139,Fantastische Ballonreise,1977
1185,Casablanca,1977
1539,Amro-Dam,1977
1704,Attacke,1977
1990,The Great Canadian Pie,1977
2108,Starwars,1977
2221,Clobber!,1977
2329,Energy Quest,1977
2526,Rules of the Road,1977
2594,Quadragammon,1977
3505,Super Pippo,1977
3607,Dauntless,1977
3648,Wheeler Dealer,1977
3743,The Pollination Game,1977
3928,Beyond Competition,1977
3938,Penguin Colourgrams 3,1977
4266,Troy,1977
4311,Hexentrio,1977
4412,Warlocks & Warriors,1977
4686,War at Sea 2,1977
4700,Pro Tennis,1977
4715,Cosmic Encounter  Expansion Set #1,1977
4716,Cosmic Encounter  Expansion Set #2,1977
4808,Fighter-Bomber  The Game of Mustangs and Messerschmitts,1977
4911,Wacky Wizard Game,1977
5093,Sweet Pickles,1977
5094,The Ugly Duckling Game,1977
5111,Back to the Farm,1977
242,Junta,1978
7,Cathedral,1978
5205,G.E.V.,1978
3463,Wizard,1978
1577,Source of the Nile,1978
4050,Fortress Europa  Designer Signature Edition,1978
7092,Battles for the Ardennes,1978
3597,Strat-O-Matic Hockey,1978
8719,The Next War,1978
4086,Napoleon at Bay  The Campaign in France,1978
1202,The Sorcerer's Cave,1978
2464,Swords & Sorcery,1978
12899,La Bataille de Preussisch-Eylau,1978
7844,Operation Typhoon,1978
7215,To the Green Fields Beyond,1978
4207,Kharkov,1978
753,Panzerkrieg,1978
5485,Atlantic Wall,1978
5939,Stonewall  The Battle of Kernstown,1978
8071,Tannenberg,1978
801,Four Battles of the Crimean War,1978
2105,Sopwith,1978
6240,The Crusades,1978
5058,Operation Crusader,1978
9650,War in the Pacific (first edition),1978
6270,Objective Moscow  The Death of Soviet Communism,1978
685,Marrakesh,1978
1773,Dawn of the Dead,1978
3641,Grand Imperialism,1978
9238,War in the Ice,1978
